icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
eating-pelican,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,beak,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,bird,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,duck,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,feeding,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,nature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,pelican,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,abstract art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.664261,,1
eating-pelican,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,avian,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,curve,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.664261,,1
eating-pelican,fish,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,flight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,grace,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,graceful,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,gullet,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,hunting,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,modern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,motion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,pouch,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,2
eating-pelican,streamlined,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
eating-pelican,swooping,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_CqfU2seWj6p4VqXy76Gus3Eu,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.498816,,1
eating-pelican,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TtjmVpRb6xlUJ8VOJh35RROn,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.663740,,1
