icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
boar,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,bison,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,buffalo,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,endurance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,force,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,horns,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,nature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,powerful,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,resilience,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,strength,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,wildlife,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,bold,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,charging,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,rugged,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
boar,untamed,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TX8cbi3x37adLweNw4MGvZ6k,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.227766,,1
