icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
private-first-class,chevron,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,military rank,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,rank insignia,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,sergeant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,achievement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,authority,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,badge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,crest,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,distinction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,hierarchical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,honor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,pointed shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,recognition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,status,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,uniform,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,v shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
private-first-class,decorative,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CmIYzojsYsKIhda9VLKA3gX5,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.406277,,1
