icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
star-skull,caution,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,death,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,harm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,hazard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,risk,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,skull,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,spikes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,threat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,warning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,alarm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,edgy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,explosion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,fear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,fearsome,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,intimidation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,ominous,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,pirate,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,violence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,fantasy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,punk,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
star-skull,stress,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_oG6ayEKV66cN8tc7Vq1vR02d,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.245470,,1
