icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
inspiration,book,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,creativity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,education,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,idea,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,innovation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,inspiration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,intelligence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,knowledge,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,learning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,lightbulb,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,concept,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,illumination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,insight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,open book,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,reading,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,smart,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,study,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,thinking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,thought,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,wisdom,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,education system,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,knowledge transfer,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
inspiration,mental light,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_uNWKCluc5STAkywydZ8rdAmc,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.409825,,1
