icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
ice-cubes,bin,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,delete,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,discard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,dispose,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,garbage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,remove,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,trash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,trash can,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,waste,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,waste container,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,clean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,clean up,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,clutter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,container,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,empty,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,environment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,full bin,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,litter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,mess,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,recycle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,management,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,organization,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,rectangular,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
ice-cubes,symbolic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_atRhACAX9oULmDn8eZKMrYwk,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.364808,,1
