icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
two-coins,banking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,capital,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,coins,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,commerce,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,currency,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,economic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,finance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,funds,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,money,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,payment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,savings,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,assets,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,bank,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,budget,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,business,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,cash,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,circles,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,deposit,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,earning,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,earnings,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,economy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,exchange,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,fiscal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,income,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,investment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,pile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,profit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,purchasing,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,riches,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,round,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,saving,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,stack,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,stacked,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,trade,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,transaction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,transactions,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,1
two-coins,value,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
two-coins,wealth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_37whdqHadZsutpNe4bCR1SDx,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.430767,,2
two-coins,treasure,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6uqUGXKEK85MFgPy2SJfMwiA,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.909611,,1
